Goomba, Bros
Paragoomba, Bros
Gloomba, 3DLand
Galoomba, MarioWorld
Winged Galoomba, MarioWorld
Cat Goomba, 3DWorld
Grand Goomba, Bros
Grand Galoomba, 3DWorld
Koopa Troopa, Bros
Koopa Paratroopa, Bros
Magikoopa, MarioWorld
Lakitu, Bros
Dry Bones, MarioWorld
Para Dry Bones, MarioWorld
Spike, Bros
Spike, 3DWorld
Bowser Jr., Sunshine
Chargin' Chuck, MarioWorld
Bowser, Bros
Shy Guy, Bros
Fly Guy, MarioWorld
Piranha Plant, Bros
Venus Fire Trap, Bros
Piranha Creeper, 3DWorld
Pokey, Bros
Snow Pokey, Mario64
Stingby, 3DLand
Ant Trooper, 3DWorld
Biddybud, 3DLand
Para-Biddybud, 3DLand
Flutter, MarioWorld
Wiggler, MarioWorld
Fuzzler, 3DWorld
Conkdor, 3DWorld
Fizzlit, Galaxy
Blooper, Bros
Cheep Cheep, Bros
Splounder, 3DWorld
Boomerang Bro, Bros
Fire Bro, Bros
Hammer Bro, Bros
Ice Bro, NewBros
Sledge Bro, Bros
Bob-Omb, Bros
Para-Bomb, MarioWorld
Bullet Bill, Bros
Cat Bullet Bill, 3DWorld
Banzai Bill, MarioWorld
King Bob-omb, Mario64
Boo, Bros
Big Boo, MarioWorld
Peepa, 3DLand
King Boo, Kart
Monty Mole, NewBros
Rocky Wrench, NewBros
Morty Mole, 3DLand
Chomp, Bros
Bully, Mario64
Thwomp, Bros
Blockstepper, 3DWorld
Spiny Skipsqueak, 3DWorld
Daisy, Land
Peach, Bros
Rosaline, Galaxy
Pauline, Kong
Toad, Bros
Toadette, Kart
Blue Toad, NewBros
Purple Toad, Sunshine
Red Toad, Bros
Yellow Toad, NewBros
Captain Toad, Galaxy
Mario, Bros
Luigi, Bros
Donkey Kong, Kong
Wario, Land
Waluigi, Tennis
Diddy Kong, KongCountry
Yoshi, MarioWorld
Plessiee, 3DWorld
Blue Yoshi, MarioWorld
Red Yoshi, MarioWorld
Yellow Yoshi, MarioWorld
Birdo, Bros
Luma, Galaxy
Blue Luma, Galaxy
Bomb Boo, Galaxy
Bee, Galaxy
Electrogoomba, Galaxy
Octoguy, Galaxy
Pokeyplant, Galaxy
Spiny Piranha Plant, Galaxy
Star Bunny, Galaxy
Dixie Kong, KongCountry
Queen Bee, Galaxy
Dino Piranha, Galaxy
Blurker, 3DWorld
Cat Banzai Bill, 3DWorld
Flopter, 3DWorld
Fuzzy, MarioWorld
Goomba Stack, 3DLand
Madpole, 3DWorld
Rabbit, Mario64
Skipsqueak, 3DWorld
Spiny, Bros
Ty-foo, 3DWorld
Walleye, 3DLand
Boom Boom, Bros
Calico Cat, BowersFury
Cat Bully, BowersFury
Cat Goomba, BowersFury
Cat, BowersFury
Cat Cheep Cheep, BowersFury
Cat Coin Coffer, BowersFury
Cat Koopa Troopa, BowersFury
Cat Seagull, BowersFury
Cat Stingby, BowersFury
Piranha Plant Cat, BowersFury
Bowser Jr., BowersFury
Fury Bowser, BowersFury
Brolder, 3DWorld
Coin Coffer, 3DLand
